Num,Method,Class,Visibility,Lines,Uses_Subprocess,Translation_Type,Category,Extract_To,Notes
115,_parse_duration,CommandExecutor,private,,?,,,,
116,_execute_sed,CommandExecutor,private,,?,,,,
117,_execute_strings,CommandExecutor,private,,?,,,,
118,_execute_base64,CommandExecutor,private,,?,,,,
119,_execute_gunzip,CommandExecutor,private,,?,,,,
120,_execute_column,CommandExecutor,private,,?,,,,
121,_execute_unzip,CommandExecutor,private,,?,,,,
122,_execute_watch,CommandExecutor,private,,?,,,,
123,_execute_paste,CommandExecutor,private,,?,,,,
124,_execute_comm,CommandExecutor,private,,?,,,,
125,_execute_wget,CommandExecutor,private,,?,,,,
126,_execute_zip,CommandExecutor,private,,?,,,,
127,__init__,BashToolExecutor,public,103,Yes,,,,
128,_detect_git_bash,BashToolExecutor,private,36,Yes,,,,
129,_detect_system_python,BashToolExecutor,private,36,Yes,,,,
130,_expand_braces,BashToolExecutor,private,70,No,,,,
131,_process_heredocs,BashToolExecutor,private,171,Yes,,,,
132,_process_substitution,BashToolExecutor,private,97,Yes,,,,
133,_process_command_substitution_recursive,BashToolExecutor,private,100,No,,,,
134,_translate_substitution_content,BashToolExecutor,private,99,No,,,,
135,_expand_variables,BashToolExecutor,private,243,No,,,,
136,_preprocess_test_commands,BashToolExecutor,private,30,No,,,,
137,_expand_aliases,BashToolExecutor,private,29,No,,,,
138,_process_subshell,BashToolExecutor,private,28,No,,,,
139,_process_command_grouping,BashToolExecutor,private,22,No,,,,
140,_process_xargs,BashToolExecutor,private,27,No,,,,
141,_process_find_exec,BashToolExecutor,private,27,No,,,,
142,_process_escape_sequences,BashToolExecutor,private,14,No,,,,
143,_has_control_structures,BashToolExecutor,private,5,No,,,,
144,_convert_control_structures_to_script,BashToolExecutor,private,32,No,,,,
145,_bash_to_powershell,BashToolExecutor,private,105,No,,,,
146,_convert_test_to_powershell,BashToolExecutor,private,40,No,,,,
147,_cleanup_temp_files,BashToolExecutor,private,10,No,,,,
148,_needs_powershell,BashToolExecutor,private,53,No,,,,
149,_adapt_for_powershell,BashToolExecutor,private,35,No,,,,
150,_setup_virtual_env,BashToolExecutor,private,48,Yes,,,,
151,_process_variable_assignments,BashToolExecutor,private,0,No,,,,
152,execute,BashToolExecutor,public,167,Yes,,,,
153,_setup_environment,BashToolExecutor,private,21,No,,,,
154,_format_result,BashToolExecutor,private,34,No,,,,
155,get_definition,BashToolExecutor,public,20,No,,,,
